,station_id,station_name,region_name,month,tm_m,tmax_max,tmin_min,rrr24,climate
0,40700,Parsabad,Ardebil,1990-01,1.64483,12.6,-15.0,29.9,Cold
1,40700,Parsabad,Ardebil,1990-02,5.41786,21.0,-4.0,11.9,Cold
2,40700,Parsabad,Ardebil,1990-03,8.66207,22.6,-5.6,9.82,Cold
3,40700,Parsabad,Ardebil,1990-04,12.7793,26.0,1.0,94.42,Moderate
4,40700,Parsabad,Ardebil,1990-05,17.9226,32.8,7.4,39.53,Moderate
5,40700,Parsabad,Ardebil,1990-06,24.8633,37.2,14.0,29.6,Warm
6,40700,Parsabad,Ardebil,1990-07,27.1419,37.2,14.0,2.03,Warm
7,40700,Parsabad,Ardebil,1990-08,25.9548,35.0,16.2,0.61,Warm
8,40700,Parsabad,Ardebil,1990-09,23.5933,33.2,14.0,0.0,Warm
9,40700,Parsabad,Ardebil,1990-10,15.7448,27.6,5.0,46.3,Moderate
10,40700,Parsabad,Ardebil,1990-11,11.925,27.4,1.0,9.52,Moderate
11,40700,Parsabad,Ardebil,1990-12,5.42333,24.6,-7.0,15.53,Cold
12,40700,Parsabad,Ardebil,1991-01,3.275,15.8,-5.6,17.8,Cold
13,40700,Parsabad,Ardebil,1991-02,3.068,20.2,-8.0,23.33,Cold
14,40700,Parsabad,Ardebil,1991-03,6.95862,19.8,-4.0,72.52,Cold
15,40700,Parsabad,Ardebil,1991-04,14.27,29.2,3.6,15.83,Moderate
16,40700,Parsabad,Ardebil,1991-05,18.2581,30.0,7.8,67.21,Moderate
17,40700,Parsabad,Ardebil,1991-06,24.0833,39.6,11.8,11.42,Warm
18,40700,Parsabad,Ardebil,1991-07,27.5871,40.2,15.8,27.63,Warm
19,40700,Parsabad,Ardebil,1991-08,26.8433,38.6,15.5,1.43,Warm
20,40700,Parsabad,Ardebil,1991-09,22.2667,32.6,10.5,5.0,Warm
21,40700,Parsabad,Ardebil,1991-10,18.1567,28.0,10.0,19.01,Moderate
22,40700,Parsabad,Ardebil,1991-11,9.40769,18.5,0.0,46.92,Cold
23,40700,Parsabad,Ardebil,1991-12,4.60357,15.6,-4.8,11.82,Cold
24,40700,Parsabad,Ardebil,1992-01,2.76296,14.8,-8.6,3.61,Cold
25,40700,Parsabad,Ardebil,1992-02,3.77241,20.0,-6.5,15.32,Cold
26,40700,Parsabad,Ardebil,1992-03,7.73793,20.8,-1.8,3.94,Cold
27,40700,Parsabad,Ardebil,1992-04,13.0933,26.0,1.4,28.66,Moderate
28,40700,Parsabad,Ardebil,1992-05,17.2033,34.0,0.2,27.3,Moderate
29,40700,Parsabad,Ardebil,1992-06,23.9345,35.0,12.0,24.8,Warm
30,40700,Parsabad,Ardebil,1992-07,26.45,36.0,14.0,27.4,Warm
31,40700,Parsabad,Ardebil,1992-08,24.7194,33.6,14.9,15.4,Warm
