station_name,year,month_num,monthly_class
Ahar,1990,1,Dfb - Cold humid
Ahar,1990,2,ET - Tundra
Ahar,1990,3,Cfa - Humid subtropical
Ahar,1990,4,Cfa - Humid subtropical
Ahar,1990,5,Dfb - Cold humid
Ahar,1990,6,Aw - Tropical savanna
Ahar,1990,7,Aw - Tropical savanna
Ahar,1990,8,Aw - Tropical savanna
Ahar,1990,9,Aw - Tropical savanna
Ahar,1990,10,Dfb - Cold humid
Ahar,1990,11,BWk - Cold desert
Ahar,1990,12,Dfb - Cold humid
Ahar,1991,1,ET - Tundra
Ahar,1991,2,ET - Tundra
Ahar,1991,3,Cfa - Humid subtropical
Ahar,1991,4,Dfb - Cold humid
Ahar,1991,5,Cfa - Humid subtropical
Ahar,1991,6,Aw - Tropical savanna
Ahar,1991,7,Aw - Tropical savanna
Ahar,1991,8,Aw - Tropical savanna
Ahar,1991,9,BWh - Hot desert
Ahar,1991,10,Dfb - Cold humid
Ahar,1991,11,Dfb - Cold humid
Ahar,1991,12,Cfa - Humid subtropical
Ahar,1992,1,ET - Tundra
Ahar,1992,2,ET - Tundra
Ahar,1992,3,Dfb - Cold humid
Ahar,1992,4,Cfa - Humid subtropical
Ahar,1992,5,Cfa - Humid subtropical
Ahar,1992,6,Cfa - Humid subtropical
Ahar,1992,7,Aw - Tropical savanna
Ahar,1992,8,Aw - Tropical savanna
Ahar,1992,9,BWh - Hot desert
Ahar,1992,10,BWh - Hot desert
Ahar,1992,11,Cfa - Humid subtropical
Ahar,1992,12,ET - Tundra
Ahar,1993,1,ET - Tundra
Ahar,1993,2,Dfb - Cold humid
Ahar,1993,3,Cfa - Humid subtropical
Ahar,1993,4,Cfa - Humid subtropical
Ahar,1993,5,Cfa - Humid subtropical
Ahar,1993,6,Dfb - Cold humid
Ahar,1993,7,Aw - Tropical savanna
Ahar,1993,8,Aw - Tropical savanna
Ahar,1993,9,Aw - Tropical savanna
Ahar,1993,10,Dfb - Cold humid
Ahar,1993,11,Cfa - Humid subtropical
Ahar,1993,12,BWk - Cold desert
Ahar,1994,1,Dfb - Cold humid
Ahar,1994,2,ET - Tundra
Ahar,1994,3,Cfa - Humid subtropical
Ahar,1994,4,Cfa - Humid subtropical
Ahar,1994,5,Cfa - Humid subtropical
Ahar,1994,6,Cfa - Humid subtropical
Ahar,1994,7,Aw - Tropical savanna
Ahar,1994,8,Aw - Tropical savanna
Ahar,1994,9,BWh - Hot desert
Ahar,1994,10,Cfa - Humid subtropical
Ahar,1994,11,Cfa - Humid subtropical
Ahar,1994,12,ET - Tundra
Ahar,1995,1,Dfb - Cold humid
Ahar,1995,2,BWk - Cold desert
