station_name,tm_m,rrr24,station_elevation,overall_class
Ahar,11.405418828645443,23.475800970873788,1391.0,Aw - Tropical savanna
Ardebil,9.73093944053398,22.984029126213592,1335.2,BWh - Hot desert
Ardebil (Airport),9.298362440163935,19.277090163934425,1314.3,BWh - Hot desert
Khalkhal,8.705691604368932,30.3803640776699,1797.4,Cfa - Humid subtropical
Mahabad,13.423642351213593,35.04417475728155,1351.8,Cfa - Humid subtropical
Maku,11.023726586893202,25.141626213592232,1411.2,Aw - Tropical savanna
Maragheh-synoptic,13.865192479951457,22.60131067961165,1344.0,Aw - Tropical savanna
Meshkinshahr,11.318459349083094,31.475530085959882,1560.6,Cfa - Humid subtropical
Mianeh,14.357215194902912,22.21866504854369,1110.0,Aw - Tropical savanna
Orumiyeh,11.800912054368931,25.66347087378641,1328.0,Aw - Tropical savanna
Parsabad,15.434924150485438,22.22723300970874,72.6,Aw - Tropical savanna
Sarab,8.92117961262136,19.793349514563108,1682.0,Aw - Tropical savanna
Tabriz,13.451139292063107,21.11104368932039,1361.0,Aw - Tropical savanna
