station_name,year,yearly_class
Ahar,1990,Dfb - Cold humid
Ahar,1991,Cfa - Humid subtropical
Ahar,1992,Cfa - Humid subtropical
Ahar,1993,Cfa - Humid subtropical
Ahar,1994,Cfa - Humid subtropical
Ahar,1995,BWk - Cold desert
Ahar,1996,Cfa - Humid subtropical
Ahar,1997,Cfa - Humid subtropical
Ahar,1998,Aw - Tropical savanna
Ahar,1999,BWk - Cold desert
Ahar,2000,Aw - Tropical savanna
Ahar,2001,Aw - Tropical savanna
Ahar,2002,Aw - Tropical savanna
Ahar,2003,Cfa - Humid subtropical
Ahar,2004,Aw - Tropical savanna
Ahar,2005,Aw - Tropical savanna
Ahar,2006,Cfa - Humid subtropical
Ahar,2007,Aw - Tropical savanna
Ahar,2008,Aw - Tropical savanna
Ahar,2009,BWk - Cold desert
Ahar,2010,Aw - Tropical savanna
Ahar,2011,Cfa - Humid subtropical
Ahar,2012,Aw - Tropical savanna
Ahar,2013,Cfa - Humid subtropical
Ahar,2014,Aw - Tropical savanna
Ahar,2015,Cfa - Humid subtropical
Ahar,2016,Dfb - Cold humid
Ahar,2017,Cfa - Humid subtropical
Ahar,2018,Dfb - Cold humid
Ahar,2019,Cfa - Humid subtropical
Ahar,2020,Cfa - Humid subtropical
Ahar,2021,BWk - Cold desert
Ahar,2022,Aw - Tropical savanna
Ahar,2023,Aw - Tropical savanna
Ahar,2024,Cfa - Humid subtropical
Ardebil,1990,BWh - Hot desert
Ardebil,1991,BWh - Hot desert
Ardebil,1992,Cfa - Humid subtropical
Ardebil,1993,Dfb - Cold humid
Ardebil,1994,BWh - Hot desert
Ardebil,1995,BWk - Cold desert
Ardebil,1996,BWh - Hot desert
Ardebil,1997,Dfb - Cold humid
Ardebil,1998,Dfb - Cold humid
Ardebil,1999,Cfa - Humid subtropical
Ardebil,2000,BWh - Hot desert
Ardebil,2001,BWh - Hot desert
Ardebil,2002,Dfb - Cold humid
Ardebil,2003,Dfb - Cold humid
Ardebil,2004,Cfa - Humid subtropical
Ardebil,2005,Cfa - Humid subtropical
Ardebil,2006,Dfb - Cold humid
Ardebil,2007,Dfb - Cold humid
Ardebil,2008,BWh - Hot desert
Ardebil,2009,Cfa - Humid subtropical
Ardebil,2010,BWk - Cold desert
Ardebil,2011,Cfa - Humid subtropical
Ardebil,2012,Cfa - Humid subtropical
Ardebil,2013,Dfb - Cold humid
Ardebil,2014,Dfb - Cold humid
Ardebil,2015,Cfa - Humid subtropical
Ardebil,2016,Dfb - Cold humid
Ardebil,2017,BWk - Cold desert
Ardebil,2018,Dfb - Cold humid
Ardebil,2019,Cfa - Humid subtropical
Ardebil,2020,Cfa - Humid subtropical
Ardebil,2021,BWk - Cold desert
Ardebil,2022,Aw - Tropical savanna
Ardebil,2023,BWh - Hot desert
Ardebil,2024,Cfa - Humid subtropical
Ardebil (Airport),2004,Cfa - Humid subtropical
Ardebil (Airport),2005,Dfb - Cold humid
Ardebil (Airport),2006,BWh - Hot desert
Ardebil (Airport),2007,BWh - Hot desert
Ardebil (Airport),2008,BWh - Hot desert
Ardebil (Airport),2009,Cfa - Humid subtropical
Ardebil (Airport),2010,BWk - Cold desert
Ardebil (Airport),2011,ET - Tundra
Ardebil (Airport),2012,Dfb - Cold humid
Ardebil (Airport),2013,BWk - Cold desert
Ardebil (Airport),2014,Cfa - Humid subtropical
Ardebil (Airport),2015,Cfa - Humid subtropical
Ardebil (Airport),2016,BWk - Cold desert
