"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"06/01/1995", "09/01/1995", "3", "-2.28", "-5.09", "-1.7", "-1.42"
"12/01/1995", "02/01/1996", "2", "-2.23", "-3.91", "-1.95", "-1.95"
"08/01/1996", "12/01/1996", "4", "-1.34", "-2.68", "-0.67", "-0.66"
"12/01/1997", "01/01/1998", "1", "-1.02", "-1.02", "-1.02", "-1.02"
"01/01/2000", "03/01/2000", "2", "-1.32", "-2.52", "-1.26", "-1.26"
"06/01/2000", "10/01/2000", "4", "-1.87", "-5.86", "-1.47", "-1.72"
"05/01/2001", "08/01/2001", "3", "-1.16", "-2.75", "-0.92", "-1.06"
"02/01/2002", "05/01/2002", "3", "-1.53", "-3.22", "-1.07", "-1.4"
"08/01/2002", "12/01/2002", "4", "-3.14", "-7.99", "-2", "-1.83"
"11/01/2003", "05/01/2004", "6", "-1.74", "-6.82", "-1.14", "-1.34"
"02/01/2006", "09/01/2006", "7", "-1.69", "-10.08", "-1.44", "-1.48"
"10/01/2007", "12/01/2007", "2", "-1.62", "-2.82", "-1.41", "-1.41"
"03/01/2008", "08/01/2008", "5", "-2.35", "-7.41", "-1.48", "-1.44"
"03/01/2009", "06/01/2009", "3", "-1.13", "-3.17", "-1.06", "-1.03"
"11/01/2010", "02/01/2011", "3", "-2.78", "-6.54", "-2.18", "-1.91"
"02/01/2012", "04/01/2012", "2", "-1.51", "-1.61", "-0.8", "-0.8"
"09/01/2013", "07/01/2014", "10", "-2.09", "-9.05", "-0.91", "-0.84"
"03/01/2017", "10/01/2017", "7", "-2.5", "-10.69", "-1.53", "-1.5"
"04/01/2021", "12/01/2021", "8", "-1.41", "-7.58", "-0.95", "-0.97"
"08/01/2022", "07/01/2023", "11", "-1.73", "-10.24", "-0.93", "-1"
