"40712"
"date", "spi1", "spi3", "spi6", "spi9", "spi12", "spi24"
"01/01/1990", "0.7", "-99", "-99", "-99", "-99", "-99"
"02/01/1990", "-0.24", "-99", "-99", "-99", "-99", "-99"
"03/01/1990", "-0.55", "-0.31", "-99", "-99", "-99", "-99"
"04/01/1990", "0.12", "-0.43", "-99", "-99", "-99", "-99"
"05/01/1990", "-1.01", "-0.71", "-99", "-99", "-99", "-99"
"06/01/1990", "-1.03", "-0.61", "-0.61", "-99", "-99", "-99"
"07/01/1990", "0.58", "-1.24", "-0.91", "-99", "-99", "-99"
"08/01/1990", "-0.38", "-0.71", "-0.85", "-99", "-99", "-99"
"09/01/1990", "-0.82", "-0.23", "-0.74", "-0.68", "-99", "-99"
"10/01/1990", "0.03", "-0.34", "-1.29", "-1.12", "-99", "-99"
"11/01/1990", "-1.5", "-1.25", "-1.49", "-1.49", "-99", "-99"
"12/01/1990", "0.95", "-0.35", "-0.56", "-0.91", "-0.85", "-99"
"01/01/1991", "-3.02", "-1.09", "-1.31", "-1.77", "-1.48", "-99"
"02/01/1991", "-0.05", "-0.23", "-1.27", "-1.5", "-1.5", "-99"
"03/01/1991", "1.34", "0.27", "-0.27", "-0.44", "-0.72", "-99"
"04/01/1991", "-0.56", "0.34", "-0.33", "-0.59", "-0.97", "-99"
"05/01/1991", "-0.73", "0.05", "-0.12", "-0.74", "-0.91", "-99"
"06/01/1991", "-0.08", "-0.93", "-0.49", "-0.72", "-0.83", "-99"
"07/01/1991", "-0.63", "-1.01", "-0.17", "-0.62", "-0.82", "-99"
"08/01/1991", "-0.38", "-0.74", "-0.14", "-0.26", "-0.81", "-99"
"09/01/1991", "-0.82", "-1.89", "-1.17", "-0.63", "-0.82", "-99"
"10/01/1991", "-0.04", "-0.42", "-1.19", "-0.42", "-0.83", "-99"
"11/01/1991", "-0.55", "-0.74", "-1.02", "-0.62", "-0.66", "-99"
"12/01/1991", "1.97", "0.75", "0.54", "-0.28", "-0.13", "-0.68"
"01/01/1992", "-0.39", "0.83", "0.39", "-0.16", "0.03", "-0.86"
"02/01/1992", "0.45", "1.43", "0.5", "0.26", "0.13", "-0.78"
"03/01/1992", "-0.95", "-0.88", "0.08", "-0.15", "-0.69", "-0.84"
"04/01/1992", "0.53", "-0.01", "0.41", "0.17", "-0.2", "-0.71"
"05/01/1992", "1.81", "0.88", "1.25", "0.82", "0.69", "-0.12"
