"40713"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "2.04"
"-2.4", "3", "0.73", "4.08"
"-2.3", "1", "0.24", "6.12"
"-2.1", "1", "0.24", "8.16"
"-2", "2", "0.49", "10.2"
"-1.9", "1", "0.24", "12.24"
"-1.8", "5", "1.21", "14.29"
"-1.7", "6", "1.46", "16.33"
"-1.6", "5", "1.21", "18.37"
"-1.5", "6", "1.46", "20.41"
"-1.4", "9", "2.18", "22.45"
"-1.3", "7", "1.7", "24.49"
"-1.2", "12", "2.91", "26.53"
"-1.1", "8", "1.94", "28.57"
"-1", "10", "2.43", "30.61"
"-0.9", "4", "0.97", "32.65"
"-0.8", "22", "5.34", "34.69"
"-0.7", "18", "4.37", "36.73"
"-0.6", "9", "2.18", "38.78"
"-0.5", "4", "0.97", "40.82"
"-0.4", "8", "1.94", "42.86"
"-0.3", "12", "2.91", "44.9"
"-0.2", "17", "4.13", "46.94"
"-0.1", "17", "4.13", "48.98"
"0", "19", "4.61", "51.02"
"0.1", "15", "3.64", "53.06"
"0.2", "11", "2.67", "55.1"
"0.3", "15", "3.64", "57.14"
"0.4", "31", "7.52", "59.18"
"0.5", "11", "2.67", "61.22"
"0.6", "16", "3.88", "63.27"
"0.7", "9", "2.18", "65.31"
"0.8", "9", "2.18", "67.35"
"0.9", "17", "4.13", "69.39"
"1", "6", "1.46", "71.43"
"1.1", "3", "0.73", "73.47"
"1.2", "3", "0.73", "75.51"
"1.3", "11", "2.67", "77.55"
"1.4", "7", "1.7", "79.59"
"1.5", "1", "0.24", "81.63"
"1.6", "5", "1.21", "83.67"
"1.7", "3", "0.73", "85.71"
"1.8", "11", "2.67", "87.76"
"1.9", "4", "0.97", "89.8"
"2.1", "1", "0.24", "91.84"
"2.2", "1", "0.24", "93.88"
"2.3", "1", "0.24", "95.92"
"2.4", "1", "0.24", "97.96"
"2.8", "3", "0.73", "100"
