"40716"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"10/01/1992", "12/01/1992", "2", "-1.89", "-2.23", "-1.11", "-1.11"
"12/01/1995", "01/01/1996", "1", "-3.04", "-3.04", "-3.04", "-3.04"
"01/01/2001", "03/01/2001", "2", "-2.54", "-4.18", "-2.09", "-2.09"
"06/01/2001", "08/01/2001", "2", "-1.57", "-1.61", "-0.81", "-0.81"
"06/01/2002", "07/01/2002", "1", "-1.57", "-1.57", "-1.57", "-1.57"
"03/01/2004", "04/01/2004", "1", "-1.81", "-1.81", "-1.81", "-1.81"
"01/01/2007", "02/01/2007", "1", "-2.2", "-2.2", "-2.2", "-2.2"
"03/01/2008", "06/01/2008", "3", "-2.18", "-5.49", "-1.83", "-1.96"
"12/01/2008", "04/01/2009", "4", "-1.83", "-4.79", "-1.2", "-1.28"
"11/01/2010", "01/01/2011", "2", "-1.6", "-3.17", "-1.58", "-1.58"
"01/01/2014", "03/01/2014", "2", "-1.69", "-3.08", "-1.54", "-1.54"
"04/01/2015", "07/01/2015", "3", "-2.01", "-3.25", "-1.08", "-1.01"
"11/01/2016", "12/01/2016", "1", "-1.57", "-1.57", "-1.57", "-1.57"
"05/01/2017", "08/01/2017", "3", "-2.16", "-3.74", "-1.25", "-1.12"
"04/01/2021", "07/01/2021", "3", "-1.78", "-2.94", "-0.98", "-1.07"
"04/01/2022", "05/01/2022", "1", "-1.51", "-1.51", "-1.51", "-1.51"
