"40700"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "1.89"
"-2.7", "1", "0.24", "3.77"
"-2.5", "1", "0.24", "5.66"
"-2.2", "1", "0.24", "7.55"
"-2.1", "2", "0.49", "9.43"
"-2", "3", "0.73", "11.32"
"-1.9", "1", "0.24", "13.21"
"-1.8", "2", "0.49", "15.09"
"-1.7", "3", "0.73", "16.98"
"-1.6", "7", "1.7", "18.87"
"-1.5", "8", "1.94", "20.75"
"-1.4", "8", "1.94", "22.64"
"-1.3", "12", "2.91", "24.53"
"-1.2", "6", "1.46", "26.42"
"-1.1", "4", "0.97", "28.3"
"-1", "9", "2.18", "30.19"
"-0.9", "17", "4.13", "32.08"
"-0.8", "7", "1.7", "33.96"
"-0.7", "17", "4.13", "35.85"
"-0.6", "12", "2.91", "37.74"
"-0.5", "11", "2.67", "39.62"
"-0.4", "11", "2.67", "41.51"
"-0.3", "19", "4.61", "43.4"
"-0.2", "22", "5.34", "45.28"
"-0.1", "20", "4.85", "47.17"
"0", "18", "4.37", "49.06"
"0.1", "12", "2.91", "50.94"
"0.2", "9", "2.18", "52.83"
"0.3", "5", "1.21", "54.72"
"0.4", "16", "3.88", "56.6"
"0.5", "12", "2.91", "58.49"
"0.6", "19", "4.61", "60.38"
"0.7", "18", "4.37", "62.26"
"0.8", "12", "2.91", "64.15"
"0.9", "11", "2.67", "66.04"
"1", "11", "2.67", "67.92"
"1.1", "7", "1.7", "69.81"
"1.2", "5", "1.21", "71.7"
"1.3", "5", "1.21", "73.58"
"1.4", "4", "0.97", "75.47"
"1.5", "8", "1.94", "77.36"
"1.6", "7", "1.7", "79.25"
"1.7", "3", "0.73", "81.13"
"1.8", "4", "0.97", "83.02"
"1.9", "1", "0.24", "84.91"
"2", "2", "0.49", "86.79"
"2.1", "1", "0.24", "88.68"
"2.2", "1", "0.24", "90.57"
"2.3", "1", "0.24", "92.45"
"2.4", "1", "0.24", "94.34"
"3", "1", "0.24", "96.23"
"3.1", "2", "0.49", "98.11"
"3.2", "1", "0.24", "100"
