"40701"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1990", "09/01/1990", "2", "-2.84", "-3.74", "-1.87", "-1.87"
"03/01/1992", "04/01/1992", "1", "-2.09", "-2.09", "-2.09", "-2.09"
"12/01/1993", "02/01/1994", "2", "-2.28", "-2.57", "-1.29", "-1.29"
"12/01/1995", "03/01/1996", "3", "-2.34", "-3.14", "-1.05", "-0.48"
"04/01/1997", "06/01/1997", "2", "-2.85", "-3.7", "-1.85", "-1.85"
"07/01/1999", "08/01/1999", "1", "-2.08", "-2.08", "-2.08", "-2.08"
"06/01/2001", "10/01/2001", "4", "-2.49", "-5.6", "-1.4", "-1.27"
"10/01/2009", "11/01/2009", "1", "-2.14", "-2.14", "-2.14", "-2.14"
"05/01/2019", "06/01/2019", "1", "-2.31", "-2.31", "-2.31", "-2.31"
"06/01/2021", "07/01/2021", "1", "-4.1", "-4.1", "-4.1", "-4.1"
"07/01/2022", "02/01/2023", "7", "-2.84", "-9.7", "-1.39", "-1.08"
