"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"05/01/1995", "09/01/1995", "4", "-2.07", "-4.48", "-1.12", "-0.92"
"11/01/1995", "01/01/1996", "2", "-1.7", "-2.63", "-1.32", "-1.32"
"06/01/1996", "10/01/1996", "4", "-1.69", "-3.53", "-0.88", "-0.82"
"04/01/1997", "06/01/1997", "2", "-1.88", "-2.24", "-1.12", "-1.12"
"02/01/2001", "04/01/2001", "2", "-1.62", "-1.78", "-0.89", "-0.89"
"05/01/2001", "07/01/2001", "2", "-1.51", "-1.79", "-0.9", "-0.9"
"02/01/2002", "04/01/2002", "2", "-1.57", "-2.01", "-1", "-1"
"10/01/2002", "11/01/2002", "1", "-2.05", "-2.05", "-2.05", "-2.05"
"02/01/2006", "09/01/2006", "7", "-1.85", "-6.19", "-0.88", "-0.78"
"01/01/2007", "03/01/2007", "2", "-2.03", "-2.08", "-1.04", "-1.04"
"03/01/2008", "06/01/2008", "3", "-2.41", "-5.28", "-1.76", "-2.33"
"11/01/2010", "01/01/2011", "2", "-2.93", "-5.85", "-2.92", "-2.92"
"10/01/2012", "11/01/2012", "1", "-2.13", "-2.13", "-2.13", "-2.13"
"01/01/2014", "03/01/2014", "2", "-1.96", "-2.79", "-1.4", "-1.4"
"08/01/2016", "09/01/2016", "1", "-1.82", "-1.82", "-1.82", "-1.82"
"03/01/2017", "10/01/2017", "7", "-2.23", "-7.56", "-1.08", "-1"
"06/01/2021", "08/01/2021", "2", "-1.87", "-2.21", "-1.1", "-1.1"
"11/01/2022", "03/01/2023", "4", "-1.56", "-2.87", "-0.72", "-0.55"
