"40706"
"date", "spi1", "spi3", "spi6", "spi9", "spi12", "spi24"
"01/01/1990", "0.04", "-99", "-99", "-99", "-99", "-99"
"02/01/1990", "-1.11", "-99", "-99", "-99", "-99", "-99"
"03/01/1990", "0.42", "-0.39", "-99", "-99", "-99", "-99"
"04/01/1990", "0.02", "-0.37", "-99", "-99", "-99", "-99"
"05/01/1990", "-2.13", "-0.74", "-99", "-99", "-99", "-99"
"06/01/1990", "-1.89", "-1.38", "-1.29", "-99", "-99", "-99"
"07/01/1990", "-0.27", "-3.21", "-1.6", "-99", "-99", "-99"
"08/01/1990", "-0.63", "-2.22", "-1.25", "-99", "-99", "-99"
"09/01/1990", "-1.19", "-1.88", "-1.99", "-1.76", "-99", "-99"
"10/01/1990", "-0.26", "-0.93", "-3.34", "-2.12", "-99", "-99"
"11/01/1990", "-1.66", "-1.71", "-2.58", "-2.18", "-99", "-99"
"12/01/1990", "0.32", "-0.94", "-1.47", "-2.22", "-1.97", "-99"
"01/01/1991", "-2.4", "-1.56", "-2.06", "-3.12", "-2.4", "-99"
"02/01/1991", "0.48", "-0.41", "-1.54", "-2.02", "-1.92", "-99"
"03/01/1991", "0.22", "-0.48", "-1.16", "-1.51", "-2.11", "-99"
"04/01/1991", "-1.07", "-0.58", "-1.39", "-1.79", "-2.63", "-99"
"05/01/1991", "0.7", "-0.19", "-0.48", "-1.21", "-1.53", "-99"
"06/01/1991", "0.79", "-0.06", "-0.38", "-0.93", "-1.23", "-99"
"07/01/1991", "1.49", "1.36", "0.41", "-0.47", "-0.85", "-99"
"08/01/1991", "-0.63", "1.18", "0.25", "-0.13", "-0.82", "-99"
"09/01/1991", "-1.04", "0.75", "0.11", "-0.25", "-0.87", "-99"
"10/01/1991", "-0.59", "-1.33", "0.5", "-0.11", "-0.98", "-99"
"11/01/1991", "-0.26", "-1.05", "-0.19", "-0.42", "-0.76", "-99"
"12/01/1991", "1.5", "0.5", "0.63", "0.34", "0.04", "-1.34"
"01/01/1992", "-0.42", "0.61", "-0.03", "0.65", "0.21", "-1.44"
"02/01/1992", "0.19", "0.86", "0.02", "0.41", "0.12", "-1.24"
"03/01/1992", "-0.49", "-0.65", "-0.08", "0.07", "-0.06", "-1.44"
"04/01/1992", "0.46", "0", "0.34", "-0.1", "0.47", "-1.29"
"05/01/1992", "0.6", "0.29", "0.68", "0.14", "0.42", "-0.75"
"06/01/1992", "1.56", "1.11", "0.52", "0.59", "0.69", "-0.38"
"07/01/1992", "-0.46", "1.14", "0.63", "0.72", "0.36", "-0.39"
"08/01/1992", "1.06", "1.34", "0.75", "1.04", "0.48", "-0.27"
"09/01/1992", "-0.95", "-0.34", "0.97", "0.4", "0.5", "-0.28"
"10/01/1992", "-0.97", "-0.72", "0.46", "0.24", "0.45", "-0.36"
"11/01/1992", "1.39", "0.59", "1.05", "0.92", "1.21", "0.29"
"12/01/1992", "-0.01", "0.49", "0.29", "0.94", "0.51", "0.28"
"01/01/1993", "0.04", "0.81", "0.33", "0.77", "0.58", "0.46"
"02/01/1993", "-0.3", "-0.44", "-0.01", "0.47", "0.46", "0.33"
"03/01/1993", "1.72", "0.8", "0.78", "0.63", "1.11", "0.66"
"04/01/1993", "1.41", "1.77", "1.59", "1.28", "1.52", "1.3"
"05/01/1993", "1.08", "2.01", "1.34", "1.43", "1.65", "1.32"
"06/01/1993", "1.46", "1.91", "1.91", "1.72", "1.64", "1.55"
"07/01/1993", "0.43", "1.63", "2.16", "1.97", "1.79", "1.39"
"08/01/1993", "1.01", "1.42", "2.31", "1.71", "1.73", "1.43"
"09/01/1993", "-1.19", "0.11", "1.93", "1.97", "1.8", "1.46"
"10/01/1993", "0.95", "0.79", "1.7", "2.36", "2.26", "1.7"
"11/01/1993", "0.52", "0.65", "1.14", "2.38", "1.91", "1.87"
"12/01/1993", "-0.12", "0.49", "0.41", "1.67", "1.71", "1.5"
"01/01/1994", "1.67", "0.92", "1.1", "1.61", "2.13", "1.88"
"02/01/1994", "-0.94", "0.44", "0.67", "1.08", "2.02", "1.74"
"03/01/1994", "0.94", "1.13", "1.01", "0.94", "1.89", "1.96"
"04/01/1994", "0.85", "0.68", "0.98", "1.16", "1.64", "2.07"
"05/01/1994", "1.24", "1.44", "1.28", "1.4", "1.65", "2.12"
"06/01/1994", "0.46", "1.25", "1.57", "1.43", "1.41", "2.03"
"07/01/1994", "-1.19", "0.97", "0.98", "1.17", "1.38", "2.04"
"08/01/1994", "-0.63", "-0.52", "1.18", "1.12", "1.23", "1.9"
