station_id,ds,precip
40700,1990-01-01,29.9
40700,1990-02-01,11.9
40700,1990-03-01,9.82
40700,1990-04-01,94.42
40700,1990-05-01,39.53
40700,1990-06-01,29.6
40700,1990-07-01,2.03
40700,1990-08-01,0.61
40700,1990-09-01,0.0
40700,1990-10-01,46.3
40700,1990-11-01,9.52
40700,1990-12-01,15.53
40700,1991-01-01,17.8
40700,1991-02-01,23.33
40700,1991-03-01,72.52
40700,1991-04-01,15.83
40700,1991-05-01,67.21
40700,1991-06-01,11.42
40700,1991-07-01,27.63
40700,1991-08-01,1.43
40700,1991-09-01,5.0
40700,1991-10-01,19.01
40700,1991-11-01,46.92
40700,1991-12-01,11.82
40700,1992-01-01,3.61
40700,1992-02-01,15.32
40700,1992-03-01,3.94
40700,1992-04-01,28.66
40700,1992-05-01,27.3
40700,1992-06-01,24.8
40700,1992-07-01,27.4
40700,1992-08-01,15.4
40700,1992-09-01,19.84
40700,1992-10-01,30.85
40700,1992-11-01,41.82
40700,1992-12-01,62.3
40700,1993-01-01,17.52
40700,1993-02-01,18.94
40700,1993-03-01,6.52
40700,1993-04-01,15.84
40700,1993-05-01,21.02
40700,1993-06-01,28.71
40700,1993-07-01,0.01
40700,1993-08-01,5.2
40700,1993-09-01,0.82
40700,1993-10-01,9.51
40700,1993-11-01,63.64
40700,1993-12-01,1.44
40700,1994-01-01,13.64
40700,1994-02-01,22.04
40700,1994-03-01,13.76
40700,1994-04-01,38.42
40700,1994-05-01,36.77
40700,1994-06-01,38.61
40700,1994-07-01,0.01
40700,1994-08-01,1.41
40700,1994-09-01,0.4
40700,1994-10-01,21.04
40700,1994-11-01,52.12
40700,1994-12-01,61.34
40700,1995-01-01,25.3
40700,1995-02-01,5.71
40700,1995-03-01,36.22
40700,1995-04-01,8.51
40700,1995-05-01,12.21
40700,1995-06-01,24.6
40700,1995-07-01,0.0
40700,1995-08-01,0.61
40700,1995-09-01,164.4
40700,1995-10-01,13.3
40700,1995-11-01,13.22
40700,1995-12-01,8.22
40700,1996-01-01,7.94
40700,1996-02-01,13.43
40700,1996-03-01,34.55
40700,1996-04-01,16.5
40700,1996-05-01,16.92
40700,1996-06-01,7.8
40700,1996-07-01,4.1
40700,1996-08-01,1.2
40700,1996-09-01,2.43
40700,1996-10-01,30.1
40700,1996-11-01,4.5
40700,1996-12-01,13.62
40700,1997-01-01,12.9
40700,1997-02-01,34.92
40700,1997-03-01,32.44
40700,1997-04-01,4.1
40700,1997-05-01,25.22
40700,1997-06-01,46.12
40700,1997-07-01,14.32
40700,1997-08-01,0.0
40700,1997-09-01,67.02
40700,1997-10-01,4.33
40700,1997-11-01,2.12
40700,1997-12-01,15.0
40700,1998-01-01,9.81
40700,1998-02-01,34.92
40700,1998-03-01,33.01
40700,1998-04-01,14.02
40700,1998-05-01,16.81
40700,1998-06-01,3.81
40700,1998-07-01,1.71
40700,1998-08-01,32.51
40700,1998-09-01,13.04
40700,1998-10-01,20.9
40700,1998-11-01,5.51
40700,1998-12-01,1.11
40700,1999-01-01,3.32
40700,1999-02-01,3.1
40700,1999-03-01,49.12
40700,1999-04-01,32.42
40700,1999-05-01,30.82
40700,1999-06-01,8.81
40700,1999-07-01,4.0
40700,1999-08-01,13.42
40700,1999-09-01,33.22
40700,1999-10-01,38.45
40700,1999-11-01,31.03
40700,1999-12-01,2.8
40700,2000-01-01,52.2
40700,2000-02-01,23.5
40700,2000-03-01,30.92
40700,2000-04-01,1.24
40700,2000-05-01,30.12
40700,2000-06-01,1.6
40700,2000-07-01,0.0
40700,2000-08-01,0.8
40700,2000-09-01,20.7
40700,2000-10-01,80.62
40700,2000-11-01,15.9
40700,2000-12-01,9.01
40700,2001-01-01,9.02
40700,2001-02-01,5.51
40700,2001-03-01,35.51
40700,2001-04-01,46.5
40700,2001-05-01,17.11
40700,2001-06-01,0.0
40700,2001-07-01,0.0
40700,2001-08-01,7.7
40700,2001-09-01,4.0
40700,2001-10-01,63.6
40700,2001-11-01,22.8
40700,2001-12-01,32.7
40700,2002-01-01,9.1
40700,2002-02-01,6.0
40700,2002-03-01,47.2
40700,2002-04-01,37.93
40700,2002-05-01,87.2
40700,2002-06-01,18.0
40700,2002-07-01,0.51
40700,2002-08-01,5.0
40700,2002-09-01,0.6
40700,2002-10-01,41.0
40700,2002-11-01,2.2
40700,2002-12-01,38.41
40700,2003-01-01,5.72
40700,2003-02-01,41.8
40700,2003-03-01,75.51
40700,2003-04-01,54.61
40700,2003-05-01,41.4
40700,2003-06-01,57.3
40700,2003-07-01,6.3
40700,2003-08-01,5.51
40700,2003-09-01,31.0
40700,2003-10-01,21.8
40700,2003-11-01,53.9
40700,2003-12-01,12.7
40700,2004-01-01,6.71
40700,2004-02-01,23.1
40700,2004-03-01,24.22
40700,2004-04-01,44.21
40700,2004-05-01,46.01
40700,2004-06-01,23.5
40700,2004-07-01,19.7
40700,2004-08-01,3.0
40700,2004-09-01,16.63
40700,2004-10-01,35.81
40700,2004-11-01,61.1
40700,2004-12-01,21.9
40700,2005-01-01,8.21
40700,2005-02-01,16.01
40700,2005-03-01,23.82
40700,2005-04-01,32.81
40700,2005-05-01,40.2
40700,2005-06-01,3.8
40700,2005-07-01,0.4
40700,2005-08-01,0.6
40700,2005-09-01,4.7
40700,2005-10-01,23.4
40700,2005-11-01,36.03
40700,2005-12-01,11.6
40700,2006-01-01,44.81
40700,2006-02-01,10.4
40700,2006-03-01,17.6
40700,2006-04-01,35.7
40700,2006-05-01,4.5
40700,2006-06-01,0.3
40700,2006-07-01,15.0
40700,2006-08-01,0.0
40700,2006-09-01,22.7
40700,2006-10-01,20.4
40700,2006-11-01,24.3
40700,2006-12-01,12.1
40700,2007-01-01,0.9
40700,2007-02-01,15.4
40700,2007-03-01,21.0
40700,2007-04-01,44.81
40700,2007-05-01,6.01
40700,2007-06-01,39.4
40700,2007-07-01,9.4
40700,2007-08-01,3.3
40700,2007-09-01,0.4
40700,2007-10-01,32.0
40700,2007-11-01,38.8
40700,2007-12-01,30.61
40700,2008-01-01,19.81
40700,2008-02-01,17.91
40700,2008-03-01,11.7
40700,2008-04-01,6.8
40700,2008-05-01,38.2
40700,2008-06-01,28.0
40700,2008-07-01,11.0
40700,2008-08-01,0.0
40700,2008-09-01,27.8
40700,2008-10-01,37.6
40700,2008-11-01,5.61
40700,2008-12-01,22.5
40700,2009-01-01,13.81
40700,2009-02-01,13.52
40700,2009-03-01,8.4
40700,2009-04-01,26.92
40700,2009-05-01,7.11
40700,2009-06-01,20.02
40700,2009-07-01,3.5
40700,2009-08-01,9.8
40700,2009-09-01,120.4
40700,2009-10-01,2.91
40700,2009-11-01,82.51
40700,2009-12-01,25.21
40700,2010-01-01,11.31
40700,2010-02-01,28.52
40700,2010-03-01,42.21
40700,2010-04-01,101.0
40700,2010-05-01,61.1
40700,2010-06-01,14.21
40700,2010-07-01,8.8
40700,2010-08-01,16.0
40700,2010-09-01,21.11
40700,2010-10-01,33.01
40700,2010-11-01,0.0
40700,2010-12-01,1.91
40700,2011-01-01,28.91
40700,2011-02-01,45.51
40700,2011-03-01,4.21
40700,2011-04-01,27.41
40700,2011-05-01,40.91
40700,2011-06-01,39.81
40700,2011-07-01,0.0
40700,2011-08-01,9.9
40700,2011-09-01,23.3
40700,2011-10-01,100.81
40700,2011-11-01,31.02
40700,2011-12-01,3.81
40700,2012-01-01,30.65
40700,2012-02-01,17.44
40700,2012-03-01,66.0
40700,2012-04-01,2.41
40700,2012-05-01,63.7
40700,2012-06-01,37.41
40700,2012-07-01,24.9
40700,2012-08-01,0.01
40700,2012-09-01,6.4
