year,month,station_id,rrr24
1990,1,40708,50.0
1990,2,40708,31.3
1990,3,40708,47.12
1990,4,40708,51.61
1990,5,40708,8.7
1990,6,40708,4.2
1990,7,407cd 08,0.44
1990,8,40708,1.21
1990,9,40708,0.8
1990,10,40708,33.51
1990,11,40708,4.02
1990,12,40708,35.6
1991,1,40708,15.82
1991,2,40708,22.12
1991,3,40708,93.8
1991,4,40708,12.71
1991,5,40708,53.7
1991,6,40708,13.2
1991,7,40708,4.01
1991,8,40708,0.41
1991,9,40708,0.0
1991,10,40708,11.6
1991,11,40708,14.8
1991,12,40708,33.91
1992,1,40708,14.23
1992,2,40708,22.25
1992,3,40708,25.35
1992,4,40708,91.3
1992,5,40708,43.88
1992,6,40708,72.82
1992,7,40708,9.61
1992,8,40708,20.41
1992,9,40708,10.8
1992,10,40708,5.33
1992,11,40708,54.21
1992,12,40708,35.43
1993,1,40708,30.54
1993,2,40708,44.52
1993,3,40708,46.35
1993,4,40708,23.33
1993,5,40708,39.14
1993,6,40708,39.91
1993,7,40708,5.3
1993,8,40708,8.52
1993,9,40708,0.82
1993,10,40708,17.56
1993,11,40708,112.02
1993,12,40708,27.82
1994,1,40708,12.65
1994,2,40708,15.06
1994,3,40708,28.63
1994,4,40708,25.13
1994,5,40708,49.52
1994,6,40708,9.63
1994,7,40708,1.63
1994,8,40708,0.41
1994,9,40708,2.45
1994,10,40708,18.35
1994,11,40708,150.81
1994,12,40708,11.34
1995,1,40708,17.53
1995,2,40708,19.13
1995,3,40708,29.41
1995,4,40708,33.5
1995,5,40708,13.61
1995,6,40708,25.33
1995,7,40708,2.61
1995,8,40708,0.53
1995,9,40708,45.13
1995,10,40708,25.08
1995,11,40708,2.02
1995,12,40708,8.44
1996,1,40708,23.92
1996,2,40708,26.64
1996,3,40708,33.43
1996,4,40708,57.16
1996,5,40708,38.03
1996,6,40708,4.22
1996,7,40708,1.02
1996,8,40708,2.13
1996,9,40708,10.03
1996,10,40708,18.41
1996,11,40708,24.24
1996,12,40708,6.43
1997,1,40708,51.61
1997,2,40708,39.72
1997,3,40708,80.84
1997,4,40708,4.94
1997,5,40708,37.07
1997,6,40708,52.07
1997,7,40708,34.43
1997,8,40708,0.03
1997,9,40708,16.32
1997,10,40708,18.43
1997,11,40708,23.02
1997,12,40708,16.41
1998,1,40708,65.02
1998,2,40708,58.52
1998,3,40708,23.23
1998,4,40708,40.71
1998,5,40708,56.52
1998,6,40708,10.61
1998,7,40708,6.23
1998,8,40708,1.41
1998,9,40708,5.83
1998,10,40708,16.71
1998,11,40708,18.5
1998,12,40708,22.42
1999,1,40708,17.11
1999,2,40708,3.81
1999,3,40708,35.81
1999,4,40708,33.26
1999,5,40708,45.06
1999,6,40708,2.51
1999,7,40708,9.21
1999,8,40708,3.24
1999,9,40708,14.33
1999,10,40708,62.21
1999,11,40708,29.92
1999,12,40708,3.02
2000,1,40708,34.34
2000,2,40708,23.31
2000,3,40708,97.5
2000,4,40708,16.71
2000,5,40708,16.71
2000,6,40708,6.0
2000,7,40708,5.12
2000,8,40708,4.11
2000,9,40708,7.84
2000,10,40708,37.16
