date spi1 spi3 spi6 spi9 spi12 spi24
01/01/1990 1.67 -99 -99 -99 -99 -99
02/01/1990 0.72 -99 -99 -99 -99 -99
03/01/1990 0.78 1.33 -99 -99 -99 -99
04/01/1990 0.71 1.12 -99 -99 -99 -99
05/01/1990 -2.21 -0.04 -99 -99 -99 -99
06/01/1990 -0.48 -0.74 0.5 -99 -99 -99
07/01/1990 -0.98 -2.17 -0.23 -99 -99 -99
08/01/1990 -0.31 -1.08 -0.5 -99 -99 -99
09/01/1990 -0.89 -2.01 -1.27 0.11 -99 -99
10/01/1990 0.47 -0.12 -1.96 -0.48 -99 -99
11/01/1990 -1.39 -0.79 -1.45 -1.2 -99 -99
12/01/1990 0.97 -0.05 -0.63 -1.13 -0.05 -99
01/01/1991 -0.45 -0.49 -0.73 -1.68 -0.79 -99
02/01/1991 0.16 0.39 -0.58 -0.95 -0.9 -99
03/01/1991 2.34 1.4 1.02 0.61 0.04 -99
04/01/1991 -1.26 1.08 0.39 0.22 -0.69 -99
05/01/1991 0.83 1.38 1.32 0.6 0.11 -99
06/01/1991 0.31 -0.23 0.85 0.69 0.28 -99
07/01/1991 0.08 0.48 1.01 0.49 0.36 -99
08/01/1991 -0.73 -0.14 0.92 0.94 0.33 -99
09/01/1991 -1.89 -1.51 -0.69 0.5 0.31 -99
10/01/1991 -0.65 -1.58 -0.56 0.36 -0.12 -99
11/01/1991 -0.42 -1.32 -1.45 0.01 0.11 -99
12/01/1991 0.9 -0.43 -0.99 -1.02 0.09 -0.03
01/01/1992 -0.61 -0.23 -1.3 -0.61 0.06 -0.5
02/01/1992 0.17 0.27 -1.05 -1.04 0.07 -0.61
03/01/1992 -0.33 -0.47 -0.85 -1.23 -1.19 -0.89
04/01/1992 1.82 1.35 0.75 0.1 0.27 -0.34
05/01/1992 0.4 1.39 1.26 0.26 0.05 0.05
06/01/1992 2.23 2.61 1.83 1.55 1.17 1.07
07/01/1992 0.7 1.79 2.19 1.67 1.29 1.19
08/01/1992 1.71 2.27 2.36 2.25 1.58 1.44
09/01/1992 0.53 1.26 2.73 2.07 1.77 1.58
10/01/1992 -1.28 -0.07 1.62 2.31 1.74 1.12
11/01/1992 0.97 0.21 1.68 2.29 2.25 1.49
12/01/1992 0.96 0.51 0.91 2.59 2.2 1.54
01/01/1993 0.65 1.29 1.09 1.88 2.6 1.76
02/01/1993 1.36 1.63 1.17 2.22 2.73 2.01
03/01/1993 0.75 1.17 1.23 1.51 2.81 1.54
04/01/1993 -0.51 0.68 1.35 1.25 2.01 1.67
05/01/1993 0.17 0 1.02 0.99 2.2 1.67
06/01/1993 1.41 0.42 1.07 1.35 1.6 2.07
07/01/1993 0.26 0.85 0.99 1.53 1.56 2.08
08/01/1993 0.87 1.2 0.62 1.31 1.3 2.15
09/01/1993 -0.88 -0.26 0.22 0.91 1.13 2.17
10/01/1993 -0.26 -0.54 0.33 0.69 1.41 2.12
11/01/1993 2.08 1.47 1.86 1.65 2.24 2.73
12/01/1993 0.62 1.74 1.63 1.54 2.06 2.75
01/01/1994 -0.78 1.94 1.6 1.59 1.91 2.84
02/01/1994 -0.39 -0.36 1.28 1.54 1.34 2.77
03/01/1994 -0.13 -0.67 1.18 1 0.99 2.87
04/01/1994 -0.41 -0.86 1.11 0.81 1.06 2.19
05/01/1994 0.65 -0.17 -0.43 0.98 1.35 2.54
06/01/1994 0.06 -0.09 -0.62 0.95 0.77 1.78
07/01/1994 -0.42 0.18 -0.58 0.95 0.71 1.66
08/01/1994 -0.73 -0.52 -0.46 -0.66 0.54 1.36
09/01/1994 -0.4 -1.5 -0.55 -0.99 0.57 1.25
10/01/1994 -0.21 -0.87 -0.59 -1.29 0.62 1.35
11/01/1994 2.64 2.13 1.84 1.54 1.26 2.13
12/01/1994 -0.41 2.11 1.86 1.46 0.96 1.95
01/01/1995 -0.3 2.43 2.04 1.56 1.11 1.89
02/01/1995 -0.05 -0.73 1.96 1.4 1.11 1.62
03/01/1995 -0.09 -0.33 1.77 1.4 1.06 1.48
04/01/1995 0.01 -0.36 1.81 1.47 1.23 1.6
05/01/1995 -1.61 -1.11 -1.42 1.13 0.7 1.44
06/01/1995 0.9 -0.47 -0.68 1.35 0.97 1.28
07/01/1995 -0.17 -0.51 -0.74 1.29 1 1.23
08/01/1995 -0.64 0.38 -0.72 -1.07 0.97 1.1
09/01/1995 2.03 1.56 0.31 -0.06 1.71 1.72
10/01/1995 0.13 1.11 0.36 -0.07 1.9 1.71
11/01/1995 -1.79 0.26 0.27 -0.58 -0.98 0.22
12/01/1995 -0.7 -1.37 -0.38 -0.74 -0.99 0.01
01/01/1996 0.21 -1.39 -0.28 -0.59 -0.92 0.15
02/01/1996 0.45 -0.2 -0.03 0.04 -0.67 0.31
03/01/1996 0.14 0.23 -0.92 -0.22 -0.52 0.4
04/01/1996 0.89 0.76 -0.31 0.28 -0.1 0.8
05/01/1996 0.11 0.58 0.3 0.32 0.32 0.68
06/01/1996 -0.48 0.34 0.31 -0.74 -0.11 0.62
07/01/1996 -0.64 -0.44 0.18 -0.66 -0.15 0.61
08/01/1996 -0.04 -0.91 0.05 -0.13 -0.11 0.62
09/01/1996 0.47 -0.38 0.11 0.14 -0.87 0.73
10/01/1996 -0.21 -0.35 -0.88 -0.16 -1.05 0.69
11/01/1996 0.04 -0.29 -0.86 -0.32 -0.5 -0.95
12/01/1996 -0.94 -0.81 -1.08 -0.61 -0.5 -1.02
01/01/1997 1.74 0.36 -0.05 -0.38 0.03 -0.6
02/01/1997 1.14 1.24 0.47 0 0.29 -0.3
03/01/1997 1.97 2.19 1.32 1.11 1.04 0.39
04/01/1997 -2.22 1 0.86 0.62 0.22 0.03
05/01/1997 0.06 0.42 1.05 0.63 0.17 0.29
06/01/1997 1.74 0.2 1.78 1.28 1.06 0.69
07/01/1997 2.04 1.73 1.92 1.72 1.67 1.15
08/01/1997 -1.39 1.96 1.5 1.85 1.57 1.12
09/01/1997 0.88 1.66 0.86 2.16 1.69 0.72
10/01/1997 -0.21 -0.15 1.52 1.96 1.77 0.59
11/01/1997 -0.01 -0.13 1.17 1.21 1.64 0.74
12/01/1997 -0.02 -0.51 0.29 0.26 1.75 0.87
01/01/1998 2.29 0.93 0.66 1.57 2.08 1.37
02/01/1998 1.92 2.43 1.53 2.23 2.22 1.73
03/01/1998 -0.47 1.71 1.01 1.48 1.27 1.68
04/01/1998 0.31 0.91 1.21 1.08 1.84 1.5
05/01/1998 0.94 0.35 1.86 1.59 2.4 1.9
06/01/1998 0.14 0.56 1.59 1.23 1.67 2.04
07/01/1998 0.37 0.55 0.93 1.24 1.2 2.1
08/01/1998 -0.24 -0.1 0.11 1.4 1.18 2.06
09/01/1998 0.09 -0.36 0.32 1.41 1 2.01
10/01/1998 -0.3 -0.7 -0.08 0.56 1.01 1.87
11/01/1998 -0.22 -0.69 -0.89 -0.52 0.88 1.52
12/01/1998 0.35 -0.52 -0.77 -0.23 0.96 1.74
01/01/1999 -0.33 -0.4 -1.04 -0.4 0.12 1.42
02/01/1999 -1.92 -0.97 -1.48 -1.37 -0.95 1.02
03/01/1999 0.26 -0.66 -1.07 -1.19 -0.61 0.52
04/01/1999 -0.01 -0.7 -0.82 -1.34 -0.78 0.87
05/01/1999 0.45 0.16 -0.46 -1.24 -1.25 1.04
06/01/1999 -0.77 -0.2 -0.7 -1.32 -1.42 0.34
07/01/1999 0.67 0.05 -0.58 -0.82 -1.38 -0.05
08/01/1999 0.2 -0.3 -0.11 -0.62 -1.27 0
09/01/1999 0.77 0.57 -0.02 -0.54 -1.1 -0.03
