station_id,station_name,region_id,region_name,lat,lon,station_elevation,data,tmax_m,tmax_max,tmax_min,tmin_m,tmin_min,tmin_max,ntmin_0,rrr24,sshn,tm_m,t_03_m,t_09_m,t_15_m
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,1/1/1990 12:00:00 AM,-2.29032,5.8,-11.6,-16.928,-29,-4,25,50,64.9,-9.784,-12.2667,-5.02667,-7.13333
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,2/1/1990 12:00:00 AM,0.446429,8.4,-9.2,-9.9,-22.4,1,20,31.3,,-4.8619,-6.78571,-1,-2.56429
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,3/1/1990 12:00:00 AM,8.89032,16.2,-6,-3.64828,-13,3,24,47.12,196.9,2.56552,-2.26452,6.04667,4.96129
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,1/1/1990 12:00:00 AM,-1.67419,4.2,-7,-16.256,-27.6,-1,25,42.9,121,-9.06,-11.729,-3.12903,-7.14839
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,2/1/1990 12:00:00 AM,0.00357142,5.6,-4.4,-10.2261,-24.6,0,23,30.7,110.3,-5.0087,-7.99286,-1.46429,-3.21429
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,3/1/1990 12:00:00 AM,6.1871,11.4,-7.4,-4.79,-20.6,2.8,25,48.7,187.6,0.66,-3.53548,4.06452,2.46452
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,1/1/1990 12:00:00 AM,6.20645,12.6,-3.2,-2.88276,-15,3.6,22,29.9,123.6,1.64483,-0.451613,4.43226,1.74667
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,2/1/1990 12:00:00 AM,10.125,21,3.4,0.696429,-4,5,11,11.9,128,5.41786,1.89286,8.3,6.68571
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,3/1/1990 12:00:00 AM,14.7194,22.6,4.8,2.78276,-5.6,8.6,7,9.82,179.4,8.66207,4.45161,12.0258,11.5161
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,1/1/1990 12:00:00 AM,1.97419,8,-3.6,-5.14074,-13,1.8,24,44.52,,-1.57407,-3.85806,0.234483,-1.24
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,2/1/1990 12:00:00 AM,3.62143,10.8,-2,-2.85833,-9.4,4,20,34.01,,0.183333,-1.90714,2.05,1.10714
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,3/1/1990 12:00:00 AM,11.1032,18,-1,-0.285714,-8.2,5.4,14,63.7,98,5.375,1.12903,8.42581,7.53548
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,1/1/1990 12:00:00 AM,-3.18667,2,-10.5,-12.976,-20.6,-1.5,25,26.73,137.2,-8.2,-9.74194,-5.46452,-6.83871
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,2/1/1990 12:00:00 AM,0.428571,6.5,-5.5,-9.06364,-18.6,2,20,9.09,153.5,-4.22727,-6.36429,-2,-2.75
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,3/1/1990 12:00:00 AM,9.01935,14.2,-0.4,-1.13929,-10.4,4.6,16,10.71,221.7,4.11786,-0.126667,6.26452,6.49032
