40708
date spi1 spi2 spi3 spi4 spi5 spi6 spi7 spi8 spi9 spi10 spi11 spi12 spi18 spi24 spi36
01/01/1990 1.67 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99
02/01/1990 0.72 1.47 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99
03/01/1990 0.78 0.87 1.33 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99
04/01/1990 0.71 0.97 1.12 1.46 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99
05/01/1990 -2.21 -0.51 -0.04 0.19 0.78 -99 -99 -99 -99 -99 -99 -99 -99 -99 -99
06/01/1990 -0.48 -2.11 -0.74 -0.27 -0.08 0.5 -99 -99 -99 -99 -99 -99 -99 -99 -99
07/01/1990 -0.98 -1 -2.17 -0.91 -0.42 -0.23 0.36 -99 -99 -99 -99 -99 -99 -99 -99
08/01/1990 -0.31 -1.15 -1.08 -2.21 -1 -0.5 -0.3 0.28 -99 -99 -99 -99 -99 -99 -99
09/01/1990 -0.89 -1.12 -2.01 -1.7 -2.44 -1.27 -0.73 -0.51 0.11 -99 -99 -99 -99 -99 -99
10/01/1990 0.47 0.09 -0.12 -0.47 -0.9 -1.96 -1.26 -0.74 -0.48 0.21 -99 -99 -99 -99 -99
11/01/1990 -1.39 -0.55 -0.79 -0.98 -1.2 -1.45 -2.15 -1.61 -1.2 -0.99 -0.35 -99 -99 -99 -99
12/01/1990 0.97 -0.14 -0.05 -0.29 -0.46 -0.63 -0.85 -1.56 -1.13 -0.8 -0.62 -0.05 -99 -99 -99
01/01/1991 -0.45 0.56 -0.49 -0.33 -0.57 -0.73 -0.87 -1.07 -1.68 -1.33 -0.98 -0.79 -99 -99 -99
02/01/1991 0.16 -0.27 0.39 -0.46 -0.34 -0.58 -0.69 -0.82 -0.95 -1.55 -1.22 -0.9 -99 -99 -99
03/01/1991 2.34 1.88 1.4 1.7 0.91 1.02 0.83 0.76 0.61 0.37 -0.2 0.04 -99 -99 -99
04/01/1991 -1.26 1.2 1.08 0.71 1.08 0.39 0.5 0.3 0.22 0.08 -0.12 -0.69 -99 -99 -99
05/01/1991 0.83 -0.27 1.38 1.34 0.98 1.32 0.65 0.81 0.6 0.52 0.35 0.11 -99 -99 -99
06/01/1991 0.31 0.62 -0.23 1.14 1.11 0.85 1.14 0.56 0.69 0.5 0.43 0.28 0.52 -99 -99
07/01/1991 0.08 0.08 0.48 -0.3 1.04 1.01 0.77 1.04 0.49 0.6 0.43 0.36 0.08 -99 -99
08/01/1991 -0.73 -0.51 -0.14 0.34 -0.42 0.92 0.89 0.67 0.94 0.4 0.5 0.33 -0.1 -99 -99
