date,spi_deseason
1991-03-01,0.9589939
1991-04-01,0.7387302
1991-05-01,1.1713344
1991-06-01,0.41674408
1991-07-01,1.1583537
1991-08-01,0.56806463
1991-09-01,0.18151079
1991-10-01,-1.1430279
1991-11-01,-0.2039902
1991-12-01,0.097667225
1992-01-01,0.11363853
1992-02-01,-0.75705767
1992-03-01,-1.3850335
1992-04-01,-0.6369774
1992-05-01,-0.53946567
1992-06-01,0.14734104
1992-07-01,0.6503404
1992-08-01,1.312465
1992-09-01,1.0325629
1992-10-01,0.1468546
1992-11-01,0.2410999
1992-12-01,1.1029032
1993-01-01,1.265069
1993-02-01,0.9780016
1993-03-01,-0.60040474
1993-04-01,-0.8417756
1993-05-01,-1.0035527
1993-06-01,-0.18921621
1993-07-01,-0.072024666
1993-08-01,0.3376397
1993-09-01,-1.5879387
1993-10-01,-1.6839141
1993-11-01,-0.13633059
1993-12-01,0.029627787
1994-01-01,0.48545444
1994-02-01,-0.51829225
1994-03-01,-0.405383
1994-04-01,0.025210736
1994-05-01,0.1003772
1994-06-01,0.7569863
1994-07-01,0.5628049
1994-08-01,0.5531312
1994-09-01,-2.4816525
1994-10-01,-1.2667888
1994-11-01,-0.14534692
1994-12-01,1.0958941
1995-01-01,1.5261394
1995-02-01,0.85897505
1995-03-01,0.05443192
1995-04-01,-0.56415164
1995-05-01,-0.6155516
1995-06-01,-0.73206276
1995-07-01,-0.48196098
1995-08-01,-0.023481429
1995-09-01,2.8016424
1995-10-01,2.0035028
1995-11-01,1.6955695
1995-12-01,-1.0723615
1996-01-01,-0.9141809
1996-02-01,-0.8042426
1996-03-01,-0.2265988
1996-04-01,-0.19814983
1996-05-01,-0.34411368
1996-06-01,-0.86152035
1996-07-01,-0.7890478
1996-08-01,-0.7250296
1996-09-01,-1.3761075
1996-10-01,-0.79964143
1996-11-01,-1.1423662
1996-12-01,-0.63184524
1997-01-01,-0.84751314
1997-02-01,0.19239827
1997-03-01,0.3414596
1997-04-01,-0.035997976
1997-05-01,-0.49294403
1997-06-01,0.03465179
1997-07-01,0.77613384
1997-08-01,1.1393248
1997-09-01,1.4518602
1997-10-01,0.26813146
1997-11-01,-0.14733057
1997-12-01,-1.6482744
1998-01-01,-1.0189295
1998-02-01,0.1495123
1998-03-01,0.28849068
1998-04-01,0.18901032
1998-05-01,-0.4420218
1998-06-01,-1.0895069
1998-07-01,-1.0873557
1998-08-01,0.4853044
1998-09-01,0.6189132
1998-10-01,0.1553559
1998-11-01,-1.0591073
1998-12-01,-1.3603659
1999-01-01,-2.0617232
1999-02-01,-2.2095325
1999-03-01,-0.23668191
1999-04-01,0.24362178
1999-05-01,0.5217007
1999-06-01,-0.03991875
1999-07-01,-0.2551628
1999-08-01,0.023050444
1999-09-01,0.7169172
1999-10-01,0.5592473
1999-11-01,0.42779398
1999-12-01,-0.021324884
2000-01-01,0.63499194
2000-02-01,0.58207077
2000-03-01,0.83984965
2000-04-01,-0.4208553
2000-05-01,-0.48010683
2000-06-01,-1.1525463
2000-07-01,-0.6713152
2000-08-01,-2.1299274
2000-09-01,-0.3666034
2000-10-01,0.8801578
2000-11-01,0.6742805
2000-12-01,0.6298944
2001-01-01,-0.73514855
2001-02-01,-1.0746106
2001-03-01,-0.38817966
2001-04-01,0.30084684
2001-05-01,0.29125813
2001-06-01,-0.23630477
2001-07-01,-1.377624
2001-08-01,-1.2181486
2001-09-01,-0.9963395
2001-10-01,0.35535288
2001-11-01,0.20079717
2001-12-01,0.85712755
2002-01-01,0.16832949
2002-02-01,-0.17565973
2002-03-01,-0.063824154
2002-04-01,0.370869
2002-05-01,1.3927479
2002-06-01,1.2087659
2002-07-01,1.148802
2002-08-01,-0.104163565
2002-09-01,-1.5769664
2002-10-01,-0.36957675
2002-11-01,-0.91799664
2002-12-01,0.1783513
2003-01-01,-0.32069504
2003-02-01,0.734259
2003-03-01,1.1108671
2003-04-01,1.615925
2003-05-01,1.3823671
2003-06-01,1.3518139
2003-07-01,1.1364244
2003-08-01,1.3473947
2003-09-01,0.48223165
2003-10-01,-0.044983197
2003-11-01,0.49781096
2003-12-01,0.3144135
2004-01-01,0.36879376
2004-02-01,-0.33787647
2004-03-01,-0.27721813
2004-04-01,0.37851596
2004-05-01,0.5562952
2004-06-01,0.7556585
2004-07-01,0.84595823
2004-08-01,0.74854994
2004-09-01,0.3683062
2004-10-01,-0.12010457
2004-11-01,0.6137441
2004-12-01,0.8524488
2005-01-01,0.7359951
2005-02-01,-0.22577158
2005-03-01,-0.4460881
2005-04-01,-0.009640694
2005-05-01,0.24942495
2005-06-01,0.06415943
2005-07-01,-0.23114641
2005-08-01,-1.6120373
2005-09-01,-1.6344684
2005-10-01,-0.999599
2005-11-01,-0.36264285
2005-12-01,-0.049347773
2006-01-01,0.75942725
2006-02-01,0.3220758
2006-03-01,0.18149568
2006-04-01,-0.21698622
2006-05-01,-0.59317553
2006-06-01,-0.885167
2006-07-01,-1.2209488
2006-08-01,-0.56906337
2006-09-01,0.3125139
2006-10-01,-0.47736493
2006-11-01,-0.28501764
2006-12-01,-0.39446127
2007-01-01,-0.61323655
2007-02-01,-0.8540433
2007-03-01,-0.78946894
2007-04-01,0.17378156
2007-05-01,-0.25635418
2007-06-01,0.33625543
2007-07-01,0.068554714
2007-08-01,0.91922796
2007-09-01,-0.8863903
2007-10-01,-0.7270994
2007-11-01,-0.19790404
2007-12-01,0.5572271
2008-01-01,0.6976459
2008-02-01,0.3575087
2008-03-01,-0.4059589
2008-04-01,-1.0082483
2008-05-01,-0.62183684
2008-06-01,-0.018791236
2008-07-01,0.6017325
2008-08-01,0.51850396
2008-09-01,0.3503456
2008-10-01,0.13047352
2008-11-01,-0.2021853
2008-12-01,-0.17242706
2009-01-01,-0.45807433
2009-02-01,-0.11669681
2009-03-01,-0.8452554
2009-04-01,-0.6100925
2009-05-01,-1.0337124
2009-06-01,-0.48117402
2009-07-01,-0.7146283
2009-08-01,0.31504297
2009-09-01,2.3629985
2009-10-01,1.3853492
2009-11-01,1.8705612
2009-12-01,0.71736926
2010-01-01,1.2232671
2010-02-01,0.28013027
2010-03-01,0.3782189
2010-04-01,1.6134892
2010-05-01,1.7808173
2010-06-01,1.6546161
2010-07-01,0.74505424
2010-08-01,0.5188432
2010-09-01,0.57842284
2010-10-01,0.24031939
2010-11-01,-0.618203
2010-12-01,-1.0657498
2011-01-01,-0.85550666
2011-02-01,0.5358465
2011-03-01,0.30732524
2011-04-01,0.088136815
2011-05-01,-0.24051347
2011-06-01,0.66135764
2011-07-01,0.67574894
2011-08-01,0.851771
2011-09-01,0.14912839
2011-10-01,1.3988448
2011-11-01,1.2378352
2011-12-01,1.1128684
2012-01-01,0.18937252
2012-02-01,-0.05824195
2012-03-01,0.9662926
2012-04-01,0.26781678
2012-05-01,0.83525753
2012-06-01,0.5812129
2012-07-01,1.4823117
2012-08-01,1.1860629
2012-09-01,0.07581418
2012-10-01,-0.9169127
2012-11-01,-0.7063418
2012-12-01,-0.28085056
2013-01-01,0.1647235
2013-02-01,0.3227803
2013-03-01,-0.114847705
2013-04-01,-0.6776777
2013-05-01,-0.42994723
2013-06-01,0.940762
2013-07-01,1.3131496
2013-08-01,1.8188981
2013-09-01,0.9572717
2013-10-01,0.46423185
2013-11-01,-0.30683362
2013-12-01,0.011661851
2014-01-01,-0.07218332
2014-02-01,0.08633968
2014-03-01,-0.9132528
2014-04-01,-0.8052846
2014-05-01,-0.82002205
2014-06-01,-0.95208645
2014-07-01,-0.95277226
2014-08-01,-0.721272
2014-09-01,-0.40289706
2014-10-01,-0.2953781
2014-11-01,0.83198774
2014-12-01,0.9876205
2015-01-01,0.9935032
2015-02-01,1.1767547
2015-03-01,1.3870262
2015-04-01,1.4065719
2015-05-01,0.29198328
2015-06-01,-0.48171592
2015-07-01,-0.38154554
2015-08-01,-0.33433056
2015-09-01,-0.5832845
2015-10-01,0.5464032
2015-11-01,0.20272097
2015-12-01,0.7503005
2016-01-01,0.86052454
2016-02-01,1.0387628
2016-03-01,0.86791205
2016-04-01,-0.04522357
2016-05-01,-0.2086986
2016-06-01,-0.18090701
2016-07-01,-0.14260106
2016-08-01,0.17589284
2016-09-01,1.9561175
2016-10-01,1.63514
2016-11-01,1.3038392
2016-12-01,-0.13449986
2017-01-01,-0.69994867
2017-02-01,0.22029936
2017-03-01,-0.1606219
2017-04-01,-0.4424736
2017-05-01,-1.4620113
2017-06-01,-1.2677696
2017-07-01,-1.2137872
